Any cancer	Any cancer
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma/Stomach Adenocarcinoma/Papillary Stomach Adenocarcinoma	Papillary Stomach Adenocarcinoma
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma/Stomach Adenocarcinoma	Stomach Adenocarcinoma
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma/Stomach Adenocarcinoma/Tubular Stomach Adenocarcinoma	Tubular Stomach Adenocarcinoma
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma/Undifferentiated Stomach Adenocarcinoma/Poorly Differentiated Carcinoma of the Stomach	Poorly Differentiated Carcinoma of the Stomach
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma/Undifferentiated Stomach Adenocarcinoma/Signet Ring Cell Carcinoma of the Stomach	Signet Ring Cell Carcinoma of the Stomach
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Esophagogastric Adenocarcinoma/Undifferentiated Stomach Adenocarcinoma	Undifferentiated Stomach Adenocarcinoma
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Gastrointestinal Neuroendocrine Tumors of the Esophageal-Stomach Cancer	Gastrointestinal Neuroendocrine Tumors of the Esophageal-Stomach Cancer
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Gastrointestinal Neuroendocrine Tumors of the Esophageal-Stomach Cancer/High-Grade Neuroendocrine Carcinoma of the Esophagus	High-Grade Neuroendocrine Carcinoma of the Esophagus
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Gastrointestinal Neuroendocrine Tumors of the Esophageal-Stomach Cancer/High-Grade Neuroendocrine Carcinoma of the Stomach	High-Grade Neuroendocrine Carcinoma of the Stomach
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Gastrointestinal Neuroendocrine Tumors of the Esophageal-Stomach Cancer/Well-Differentiated Neuroendocrine Tumors of the Stomach	Well-Differentiated Neuroendocrine Tumors of the Stomach
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Gastrointestinal Neuroendocrine Tumors of the Esophagus-Stomach	Gastrointestinal Neuroendocrine Tumors of the Esophagus-Stomach
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Mucosal Melanoma of the Esophagus	Mucosal Melanoma of the Esophagus
Any cancer/Solid tumor/Esophageal-Stomach Cancer/Smooth Muscle Neoplasm, NOS	Smooth Muscle Neoplasm, NOS
Any cancer/Solid tumor/Eye Cancer	Eye Cancer
Any cancer/Solid tumor/Eye Cancer/Ocular Melanoma/Conjunctival Melanoma	Conjunctival Melanoma
Any cancer/Solid tumor/Eye Cancer/Ocular Melanoma	Ocular Melanoma
Any cancer/Solid tumor/Eye Cancer/Ocular Melanoma/Uveal Melanoma	Uveal Melanoma
Any cancer/Solid tumor/Eye Cancer/Retinoblastoma	Retinoblastoma
Any cancer/Solid tumor/Head and Neck Cancer	Head and Neck Cancer
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Carcinoma, Other Cancer/Adenosquamous Carcinoma of the Tongue	Adenosquamous Carcinoma of the Tongue
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Carcinoma, Other Cancer/Epithelial-Myoepithelial Carcinoma	Epithelial-Myoepithelial Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Carcinoma, Other Cancer	Head and Neck Carcinoma, Other Cancer
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Carcinoma, Other Cancer/Head and Neck Neuroendocrine Carcinoma	Head and Neck Neuroendocrine Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Carcinoma, Other Cancer/NUT Midline Carcinoma of the Head and Neck	NUT Midline Carcinoma of the Head and Neck
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Carcinoma, Other Cancer/Odontogenic Carcinoma/Clear Cell Odontogenic Carcinoma	Clear Cell Odontogenic Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Carcinoma, Other Cancer/Odontogenic Carcinoma	Odontogenic Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Carcinoma, Other Cancer/Sinonasal Adenocarcinoma	Sinonasal Adenocarcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Carcinoma, Other Cancer/Sinonasal Undifferentiated Carcinoma	Sinonasal Undifferentiated Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Carcinoma, Other	Head and Neck Carcinoma, Other
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Mucosal Melanoma	Head and Neck Mucosal Melanoma
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Squamous Cell Carcinoma/Head and Neck Squamous Cell Carcinoma of Unknown Primary	Head and Neck Squamous Cell Carcinoma of Unknown Primary
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Squamous Cell Carcinoma/Hypopharynx Squamous Cell Carcinoma	Hypopharynx Squamous Cell Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Squamous Cell Carcinoma/Larynx Squamous Cell Carcinoma	Larynx Squamous Cell Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Squamous Cell Carcinoma/Oral Cavity Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Squamous Cell Carcinoma/Oropharynx Squamous Cell Carcinoma	Oropharynx Squamous Cell Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Head and Neck Squamous Cell Carcinoma/Sinonasal Squamous Cell Carcinoma	Sinonasal Squamous Cell Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Nasopharyngeal Carcinoma	Nasopharyngeal Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Parathyroid Cancer	Parathyroid Cancer
Any cancer/Solid tumor/Head and Neck Cancer/Parathyroid Cancer/Parathyroid Carcinoma	Parathyroid Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Salivary Carcinoma/Acinic Cell Carcinoma	Acinic Cell Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Salivary Carcinoma/Adenoid Cystic Carcinoma	Adenoid Cystic Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Salivary Carcinoma/Mammary Analogue Secretory Carcinoma of Salivary Gland Origin	Mammary Analogue Secretory Carcinoma of Salivary Gland Origin
Any cancer/Solid tumor/Head and Neck Cancer/Salivary Carcinoma/Mucoepidermoid Carcinoma	Mucoepidermoid Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Salivary Carcinoma/Myoepithelial Carcinoma	Myoepithelial Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Salivary Carcinoma/Salivary Adenocarcinoma	Salivary Adenocarcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Salivary Carcinoma	Salivary Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Salivary Carcinoma/Salivary Carcinoma, Other	Salivary Carcinoma, Other
Any cancer/Solid tumor/Head and Neck Cancer/Salivary Carcinoma/Salivary Duct Carcinoma	Salivary Duct Carcinoma
Any cancer/Solid tumor/Head and Neck Cancer/Salivary Carcinoma/Salivary Gland Oncocytoma	Salivary Gland Oncocytoma
Any cancer/Solid tumor/Head and Neck Cancer/Sialoblastoma	Sialoblastoma
Any cancer/Solid tumor/Kidney Cancer/Clear Cell Sarcoma of Kidney	Clear Cell Sarcoma of Kidney
Any cancer/Solid tumor/Kidney Cancer	Kidney Cancer
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma	Renal Cell Carcinoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Clear Cell Carcinoma	Renal Clear Cell Carcinoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Clear Cell Carcinoma/Renal Clear Cell Carcinoma with Sarcomatoid Features	Renal Clear Cell Carcinoma with Sarcomatoid Features
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Non-Clear Cell Carcinoma/Chromophobe Renal Cell Carcinoma	Chromophobe Renal Cell Carcinoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Non-Clear Cell Carcinoma/Clear Cell Papillary Renal Cell Carcinoma	Clear Cell Papillary Renal Cell Carcinoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Non-Clear Cell Carcinoma/Collecting Duct Renal Cell Carcinoma	Collecting Duct Renal Cell Carcinoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Non-Clear Cell Carcinoma/FH-Deficient Renal Cell Carcinoma	FH-Deficient Renal Cell Carcinoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Non-Clear Cell Carcinoma/Papillary Renal Cell Carcinoma	Papillary Renal Cell Carcinoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Non-Clear Cell Carcinoma/Renal Angiomyolipoma	Renal Angiomyolipoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Non-Clear Cell Carcinoma/Renal Medullary Carcinoma	Renal Medullary Carcinoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Non-Clear Cell Carcinoma/Renal Mucinous Tubular Spindle Cell Carcinoma	Renal Mucinous Tubular Spindle Cell Carcinoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Non-Clear Cell Carcinoma	Renal Non-Clear Cell Carcinoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Non-Clear Cell Carcinoma/Renal Oncocytoma	Renal Oncocytoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Non-Clear Cell Carcinoma/Renal Small Cell Carcinoma	Renal Small Cell Carcinoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Non-Clear Cell Carcinoma/Sarcomatoid Renal Cell Carcinoma	Sarcomatoid Renal Cell Carcinoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Non-Clear Cell Carcinoma/Translocation-Associated Renal Cell Carcinoma	Translocation-Associated Renal Cell Carcinoma
Any cancer/Solid tumor/Kidney Cancer/Renal Cell Carcinoma/Renal Non-Clear Cell Carcinoma/Unclassified Renal Cell Carcinoma	Unclassified Renal Cell Carcinoma
Any cancer/Solid tumor/Kidney Cancer/Renal Neuroendocrine Tumor	Renal Neuroendocrine Tumor
Any cancer/Solid tumor/Kidney Cancer/Rhabdoid Cancer	Rhabdoid Cancer
Any cancer/Solid tumor/Kidney Cancer/Wilms' Tumor	Wilms' Tumor
Any cancer/Solid tumor/Liver Cancer/Fibrolamellar Carcinoma	Fibrolamellar Carcinoma
Any cancer/Solid tumor/Liver Cancer/Hepatoblastoma	Hepatoblastoma
Any cancer/Solid tumor/Liver Cancer/Hepatocellular Adenoma	Hepatocellular Adenoma
Any cancer/Solid tumor/Liver Cancer/Hepatocellular Carcinoma	Hepatocellular Carcinoma
Any cancer/Solid tumor/Liver Cancer/Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma
Any cancer/Solid tumor/Liver Cancer/Liver Angiosarcoma	Liver Angiosarcoma
Any cancer/Solid tumor/Liver Cancer	Liver Cancer
Any cancer/Solid tumor/Liver Cancer/Malignant Nonepithelial Tumor of the Liver	Malignant Nonepithelial Tumor of the Liver
Any cancer/Solid tumor/Liver Cancer/Malignant Rhabdoid Tumor of the Liver	Malignant Rhabdoid Tumor of the Liver
Any cancer/Solid tumor/Liver Cancer/Undifferentiated Embryonal Sarcoma of the Liver	Undifferentiated Embryonal Sarcoma of the Liver
Any cancer/Solid tumor/Lung Cancer/Combined Small Cell Lung Carcinoma	Combined Small Cell Lung Carcinoma
Any cancer/Solid tumor/Lung Cancer/Inflammatory Myofibroblastic Lung Tumor	Inflammatory Myofibroblastic Lung Tumor
Any cancer/Solid tumor/Lung Cancer/Lung Adenocarcinoma In Situ	Lung Adenocarcinoma In Situ
Any cancer/Solid tumor/Lung Cancer	Lung Cancer
Any cancer/Solid tumor/Lung Cancer/Lung Neuroendocrine Tumor/Atypical Lung Carcinoid	Atypical Lung Carcinoid
Any cancer/Solid tumor/Lung Cancer/Lung Neuroendocrine Tumor/Large Cell Neuroendocrine Carcinoma	Large Cell Neuroendocrine Carcinoma
Any cancer/Solid tumor/Lung Cancer/Lung Neuroendocrine Tumor/Lung Carcinoid	Lung Carcinoid
Any cancer/Solid tumor/Lung Cancer/Lung Neuroendocrine Tumor	Lung Neuroendocrine Tumor
Any cancer/Solid tumor/Lung Cancer/Lung Neuroendocrine Tumor/Small Cell Lung Cancer	Small Cell Lung Cancer
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Ciliated Muconodular Papillary Tumor of the Lung	Ciliated Muconodular Papillary Tumor of the Lung
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Large Cell Lung Carcinoma/Basaloid Large Cell Carcinoma of the Lung	Basaloid Large Cell Carcinoma of the Lung
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Large Cell Lung Carcinoma/Clear Cell Carcinoma of the Lung	Clear Cell Carcinoma of the Lung
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Large Cell Lung Carcinoma/Giant Cell Carcinoma of the Lung	Giant Cell Carcinoma of the Lung
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Large Cell Lung Carcinoma	Large Cell Lung Carcinoma
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Large Cell Lung Carcinoma/Large Cell Lung Carcinoma With Rhabdoid Phenotype	Large Cell Lung Carcinoma With Rhabdoid Phenotype
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Large Cell Lung Carcinoma/Lymphoepithelioma-like Carcinoma of the Lung	Lymphoepithelioma-like Carcinoma of the Lung
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Lung Adenocarcinoma	Lung Adenocarcinoma
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Lung Adenosquamous Carcinoma	Lung Adenosquamous Carcinoma
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Lung Squamous Cell Carcinoma	Lung Squamous Cell Carcinoma
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/NUT Carcinoma of the Lung	NUT Carcinoma of the Lung
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Pleomorphic Carcinoma of the Lung	Pleomorphic Carcinoma of the Lung
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Poorly Differentiated Non-Small Cell Lung Cancer	Poorly Differentiated Non-Small Cell Lung Cancer
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Salivary Gland-Type Tumor of the Lung Cancer/Adenoid Cystic Carcinoma of the Lung	Adenoid Cystic Carcinoma of the Lung
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Salivary Gland-Type Tumor of the Lung Cancer/Mucoepidermoid Carcinoma of the Lung	Mucoepidermoid Carcinoma of the Lung
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Salivary Gland-Type Tumor of the Lung Cancer	Salivary Gland-Type Tumor of the Lung Cancer
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Salivary Gland-Type Tumor of the Lung	Salivary Gland-Type Tumor of the Lung
Any cancer/Solid tumor/Lung Cancer/Non-Small Cell Lung Cancer/Spindle Cell Carcinoma of the Lung	Spindle Cell Carcinoma of the Lung
Any cancer/Solid tumor/Lung Cancer/Pleuropulmonary Blastoma	Pleuropulmonary Blastoma
Any cancer/Solid tumor/Lung Cancer/Pulmonary Lymphangiomyomatosis	Pulmonary Lymphangiomyomatosis
Any cancer/Solid tumor/Lung Cancer/Sarcomatoid Carcinoma of the Lung	Sarcomatoid Carcinoma of the Lung
Any cancer/Solid tumor/Lymphatic Cancer	Lymphatic Cancer
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Atypical	Lymphoid Atypical
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Benign	Lymphoid Benign
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/B-Lymphoblastic Leukemia-Lymphoma	B-Lymphoblastic Leukemia-Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/B-Lymphoblastic Leukemia-Lymphoma/B-Lymphoblastic Leukemia-Lymphoma, NOS	B-Lymphoblastic Leukemia-Lymphoma, NOS
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/B-Lymphoblastic Leukemia-Lymphoma/B-Lymphoblastic Leukemia-Lymphoma with Recurrent Genetic Abnormalities/B-Lymphoblastic Leukemia-Lymphoma, BCR-ABL1 Like	B-Lymphoblastic Leukemia-Lymphoma, BCR-ABL1 Like
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/B-Lymphoblastic Leukemia-Lymphoma/B-Lymphoblastic Leukemia-Lymphoma with Recurrent Genetic Abnormalities/B-Lymphoblastic Leukemia-Lymphoma with Hyperdiploidy	B-Lymphoblastic Leukemia-Lymphoma with Hyperdiploidy
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/B-Lymphoblastic Leukemia-Lymphoma/B-Lymphoblastic Leukemia-Lymphoma with Recurrent Genetic Abnormalities/B-Lymphoblastic Leukemia-Lymphoma with Hypodiploidy	B-Lymphoblastic Leukemia-Lymphoma with Hypodiploidy
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/B-Lymphoblastic Leukemia-Lymphoma/B-Lymphoblastic Leukemia-Lymphoma with Recurrent Genetic Abnormalities/B-Lymphoblastic Leukemia-Lymphoma with iAMP21	B-Lymphoblastic Leukemia-Lymphoma with iAMP21
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/B-Lymphoblastic Leukemia-Lymphoma/B-Lymphoblastic Leukemia-Lymphoma with Recurrent Genetic Abnormalities	B-Lymphoblastic Leukemia-Lymphoma with Recurrent Genetic Abnormalities
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/B-Lymphoblastic Leukemia-Lymphoma/B-Lymphoblastic Leukemia-Lymphoma with Recurrent Genetic Abnormalities/B-Lymphoblastic Leukemia-Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1	B-Lymphoblastic Leukemia-Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/B-Lymphoblastic Leukemia-Lymphoma/B-Lymphoblastic Leukemia-Lymphoma with Recurrent Genetic Abnormalities/B-Lymphoblastic Leukemia-Lymphoma with t(12;21)(p13.2;q22.1); ETV6-RUNX1	B-Lymphoblastic Leukemia-Lymphoma with t(12;21)(p13.2;q22.1); ETV6-RUNX1
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/B-Lymphoblastic Leukemia-Lymphoma/B-Lymphoblastic Leukemia-Lymphoma with Recurrent Genetic Abnormalities/B-Lymphoblastic Leukemia-Lymphoma with t(5;14)(q31.1;q32.3) IL3-IGH	B-Lymphoblastic Leukemia-Lymphoma with t(5;14)(q31.1;q32.3) IL3-IGH
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/B-Lymphoblastic Leukemia-Lymphoma/B-Lymphoblastic Leukemia-Lymphoma with Recurrent Genetic Abnormalities/B-Lymphoblastic Leukemia-Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1	B-Lymphoblastic Leukemia-Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/B-Lymphoblastic Leukemia-Lymphoma/B-Lymphoblastic Leukemia-Lymphoma with Recurrent Genetic Abnormalities/B-Lymphoblastic Leukemia-Lymphoma with t(v;11q23.3);KMT2A Rearranged	B-Lymphoblastic Leukemia-Lymphoma with t(v;11q23.3);KMT2A Rearranged
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Hodgkin Lymphoma/Classical Hodgkin Lymphoma	Classical Hodgkin Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Hodgkin Lymphoma/Classical Hodgkin Lymphoma/Lymphocyte-Depleted Classical Hodgkin Lymphoma	Lymphocyte-Depleted Classical Hodgkin Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Hodgkin Lymphoma/Classical Hodgkin Lymphoma/Lymphocyte-Rich Classical Hodgkin Lymphoma	Lymphocyte-Rich Classical Hodgkin Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Hodgkin Lymphoma/Classical Hodgkin Lymphoma/Mixed Cellularity Classical Hodgkin Lymphoma	Mixed Cellularity Classical Hodgkin Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Hodgkin Lymphoma/Classical Hodgkin Lymphoma/Nodular Sclerosis Classical Hodgkin Lymphoma	Nodular Sclerosis Classical Hodgkin Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Hodgkin Lymphoma	Hodgkin Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Hodgkin Lymphoma/Nodular Lymphocyte-Predominant Hodgkin Lymphoma	Nodular Lymphocyte-Predominant Hodgkin Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm	Lymphoid Neoplasm
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/ALK Positive Large B-Cell Lymphoma	ALK Positive Large B-Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Alpha Heavy-Chain Disease	Alpha Heavy-Chain Disease
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/B-Cell Lymphoma, Unclassifiable, with Features Intermediate between DLBCL and Classical Hodgkin lymphoma	B-Cell Lymphoma, Unclassifiable, with Features Intermediate between DLBCL and Classical Hodgkin lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/B-Cell Prolymphocytic Leukemia	B-Cell Prolymphocytic Leukemia
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Burkitt-Like Lymphoma with 11q Aberration	Burkitt-Like Lymphoma with 11q Aberration
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Burkitt Lymphoma	Burkitt Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Chronic Lymphocytic Leukemia	Chronic Lymphocytic Leukemia
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	Small Lymphocytic Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Diffuse Large B-Cell Lymphoma, NOS/Activated B-cell Type	Activated B-cell Type
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Diffuse Large B-Cell Lymphoma, NOS	Diffuse Large B-Cell Lymphoma, NOS
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Diffuse Large B-Cell Lymphoma, NOS/Germinal Center B-Cell Type	Germinal Center B-Cell Type
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/DLBCL Associated with Chronic Inflammation	DLBCL Associated with Chronic Inflammation
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/EBV Positive DLBCL, NOS	EBV Positive DLBCL, NOS
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/EBV Positive Mucocutaneous Ulcer	EBV Positive Mucocutaneous Ulcer
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Extraosseous Plasmacytoma	Extraosseous Plasmacytoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Follicular Lymphoma/Duodenal-Type Follicular Lymphoma	Duodenal-Type Follicular Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Follicular Lymphoma	Follicular Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Follicular Lymphoma/In Situ Follicular Neoplasia	In Situ Follicular Neoplasia
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Gamma Heavy-Chain Disease	Gamma Heavy-Chain Disease
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Hairy Cell Leukemia	Hairy Cell Leukemia
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/HHV8 Positive DLBCL, NOS	HHV8 Positive DLBCL, NOS
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/High-Grade B-Cell Lymphoma, NOS	High-Grade B-Cell Lymphoma, NOS
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/High-Grade B-Cell Lymphoma, with MYC and BCL2 and	High-Grade B-Cell Lymphoma, with MYC and BCL2 and
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/High-Grade B-Cell Lymphoma, with MYC and BCL2 and/or BCL6 Rearrangements	or BCL6 Rearrangements
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Intravascular Large B-Cell Lymphoma	Intravascular Large B-Cell Lymphoma
